% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 2 - tu_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
505                                               9872.591036386466+17758.24771491912i              9871.756990153059+17755.632121907318i             9870.735447391942+17753.394598994844i             9869.542145853175+17751.03075286273i              9868.194145521864+17748.95101148366i
510                                               10050.984850084282+17872.18273109803i             10049.973774222763+17869.546530259297i            10048.776828309623+17867.30728286503i             10047.411025930602+17864.954774776725i            10045.894754433177+17862.90310284963i
515                                               10230.416312894784+17984.48447135205i             10229.222270923536+17981.838510432794i            10227.845102247635+17979.608865563907i            10226.303125983728+17977.279390157266i            10224.616081218728+17975.267749432813i
520                                               10410.86553160508+18095.151207223877i             10409.483168425852+18092.507007476423i            10407.921607948638+18090.29890464808i             10406.200498758071+18088.004701556867i            10404.340949588528+18086.045525308895i
525                                               10592.312876609412+18204.18189035621i             10590.737480267106+18201.551622583804i            10588.988068989891+18199.377583022953i            10587.085638349698+18197.1313993906i              10585.052677459622+18195.237548488425i
530                                               10774.739031318164+18311.576148951746i            10772.966594610076+18308.972604382103i            10771.026642322462+18306.845695026685i            10768.941527406008+18304.66074286813i             10766.735122222883+18302.8454567958i
535                                               10958.12504334751+18417.334279958537i             10956.152324855888+18414.770835827316i            10954.019967707489+18412.704628066236i            10951.751684801731+18410.59453642799i             10949.372726054655+18408.871379246997i
540                                               11142.45237704561+18521.457236673876i             11140.276961175676+18518.947816416592i            11137.95121764134+18516.95633948713i              11135.50021332267+18514.93510140941i              11132.950560743537+18513.317902720133i
545                                               11327.702966934707+18623.946611403248i            11325.32332248393+18621.505639378873i             11322.804147234505+18619.603328425328i            11320.171846849802+18617.685242741867i            11317.454371573413+18616.188033727558i
550                                               11513.859271549598+18724.804612924556i            11511.274808332451+18722.446963651255i            11508.563143540776+18720.648602463003i            11505.751996489407+18718.848210516513i            11502.870619639103+18717.485155205934i
