% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 16 2017, 08:14
% Table:              Table 2 - r1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
380                                               11359.220659005157+25535.313456834807i            11362.62101495443+25538.07119090404i              11366.041126369157+25540.56290348146i             11369.468658352285+25542.818626459542i            11372.89155796135+25544.78334298029i              11376.297923559867+25546.474621274225i            11379.679413392569+25548.000358605997i            11383.023653376202+25549.215326931877i            11386.321897840277+25550.21173995442i             11389.566083172156+25551.0154505827i
385                                               11629.960994573026+25781.867102631233i            11633.596513382481+25784.596782894023i            11637.243978530343+25787.04586180116i             11640.890377841104+25789.245556098384i            11644.523000260524+25791.140643859795i            11648.129349358564+25792.74972102794i             11651.70069103313+25794.183096335917i             11655.22405003304+25795.293945773992i             11658.690342305226+25796.17671717118i             11662.091193982733+25796.85838068428i
390                                               11902.941968472456+26025.395509001337i            11906.81920125169+26028.085025792876i             11910.699565237042+26030.47905895718i             11914.569363484701+26032.610088623467i            11918.415220196046+26034.42275230566i             11922.224045934441+26035.936750675693i            11925.98672505066+26037.26488569567i              11929.689683893228+26038.25878971683i             11933.323520216287+26039.015225903335i            11936.879569835477+26039.562349132062i
395                                               12178.125202629346+26265.881442158778i            12182.250271629973+26268.51797582018i             12186.368595946671+26270.843881930792i            12190.46578969437+26272.892986883508i             12194.527808988334+26274.609855953273i            12198.540977132687+26276.015375377254i            12202.495811901901+26277.22492566103i             12206.37814796234+26278.088650675494i             12210.178289933727+26278.705713074996i            12213.887307884961+26279.10552235693i
400                                               12455.472348993793+26503.308256543263i            12459.850896302372+26505.87827971913i             12464.211708018642+26508.12231499341i             12468.539708840968+26510.075622247543i            12472.820187128287+26511.682766661062i            12477.038888993213+26512.96590463418i             12481.18598520173+26514.043083984026i             12485.246729778284+26514.76301800007i             12489.211164475091+26515.227355774994i            12493.070123234174+26515.466833581217i
405                                               12734.94512149434+26737.659869657044i             12739.582256187274+26740.14915257332i             12744.189495854029+26742.296920586825i            12748.75107939031+26744.139958636748i             12753.251631804409+26745.622907741035i            12757.676336838174+26746.76928272709i             12762.01504277725+26747.69989086228i              12766.252438739983+26748.262075346673i            12770.378339514486+26748.56006128277i             12774.383377919783+26748.625985885054i
410                                               13016.5053244672+26968.920732301653i              13021.405568302525+26971.314351228564i            13026.262536691265+26973.35081601512i             13031.059790864187+26975.06853256375i             13035.781301358644+26976.41229736252i             13040.411709506941+26977.407075523188i            13044.940571048206+26978.17652911858i             13049.352031003691+26978.5666941838i              13053.63571911595+26978.68446377509i              13057.782107841898+26978.5634520657i
415                                               13300.11487684532+27197.075794672623i             13305.282108654254+27199.358143789705i            13310.391412509374+27201.267646454937i            13315.42568507523+27202.844429658147i             13320.368256154174+27204.0335286482i              13325.203250242454+27204.861454109276i            13329.919966249427+27205.454821322954i            13334.502031384274+27205.658424329304i            13338.938938694926+27205.581918231568i            13343.221047142468+27205.26047170485i
420                                               13585.735831566608+27422.110468861676i            13591.173230530381+27424.265275795155i            13596.536727524252+27426.031554799487i            13601.808573108494+27427.451258269535i            13606.971475439917+27428.46974699651i             13612.009073755124+27429.11517579725i             13616.910452064374+27429.517214445073i            13621.658751938965+27429.519482146654i            13626.243384853713+27429.234491999014i            13630.654649675731+27428.699045960573i
425                                               13873.33038971966+27644.010588415153i             13879.040377717141+27646.020933628253i            13884.659120769824+27647.627149001884i            13890.168247678872+27648.873120700042i            13895.549869789726+27649.704625211118i            13900.787179092127+27650.151563120253i            13905.869093322044+27650.34676257983i             13910.77830679166+27650.132736879394i             13915.504211780562+27649.624954607993i            13920.037107273361+27648.86193066856i
430                                               14162.860908951898+27862.76236564559i             14168.845092192343+27864.61070592392i             14174.719273483053+27866.039467585575i            14180.464490504222+27867.094582814952i            14186.06228879309+27867.722337157233i             14191.495458085063+27867.954481425328i            14196.752805474232+27867.927108406686i            14201.816623094535+27867.481695838334i            14206.676353969231+27866.73676645538i             14211.322364627202+27865.732628310725i
435                                               14454.289905838472+28078.35234743336i             14460.549016095532+28080.02054366386i             14466.677910928462+28081.25394401438i             14472.657074376688+28082.100642691432i            14478.467523829102+28082.50753059061i             14484.091699069155+28082.508315802574i            14489.5183597284+28082.242464057304i              14494.729447857624+28081.5504890045i              14499.714535148449+28080.554066975194i            14504.464130644988+28079.295379474916i
